SUM of Value,,Metric,,,
Crisis Country,Standardised Plan,People targeted,People in need,Funding requirements,Funding received
Afghanistan,Afghanistan,"22,000,000","175,176,152","18,834,823,016","2,919,599,635"
,Afghanistan Flash Appeal,,,"152,100,000","53,500,000"
,Afghanistan Humanitarian Action Plan,,,"774,508,310","505,299,903"
Bangladesh,Bangladesh,,"3,700,000","3,176,400,000","1,445,100,000"
,Bangladesh (Intersectoral),,"20,180,000",,
Benin,Benin,,"3,000,000",,
Burkina Faso,Burkina Faso,"7,000,000","29,125,455","4,411,270,510","438,148,681"
,Burkina Faso Emergency Humanitarian Action Plan,,,"14,163,313","3,896,575"
Burundi,Burundi,,"16,858,677","1,312,231,557","224,400,000"
,Burundi (RRP),,"552,000",,
,Burundi Refugee Response Plan,,,"306,600,000","73,800,000"
,Burundi Regional Refugee Response Plan,,"1,037,000","1,631,900,000","423,100,000"
,Burundi RRP,,"250,000",,
Cameroon,Cameroon,,"44,280,524","3,310,425,644","651,600,000"
Central African Republic,Central African Republic,"5,141,183","30,181,311","5,949,269,218","1,887,742,766"
,Central African Republic Refugee Response Plan,,,"331,200,000","70,000,000"
,Central African Republic Regional Refugee Response Plan,,"1,300,000","345,700,000","80,500,000"
Chad,Chad,"9,472,310","53,588,812","8,614,583,585","2,696,024,868"
Colombia,Colombia,,"40,843,380","1,198,162,628",
Cote d'Ivoire,Cote d'Ivoire,"1,143,502",,"160,691,683","101,406,953"
Cuba,Cuba,,"10,575,235","97,417,107","10,300,000"
,Cuba Plan of Action,,,"30,392,419","12,250,508"
Democratic People's Republic of Korea,Democratic People's Republic of Korea,,"49,600,000","563,000,000","111,800,000"
,Democratic People's Republic of Korea : Overview of Needs and Assistance,,,"218,740,000","73,139,091"
,Democratic People's Republic of Korea Overview of Needs and Assistance,,,"198,066,562","103,886,477"
Democratic Republic of Congo,Democratic Republic of Congo,,"19,616,782","544,601,391",
,Democratic Republic of Congo (RRP),,"1,951,385",,
Democratic Republic of the Congo,Democratic Republic of the Congo,"27,510,000","164,196,753","19,914,968,310","5,166,732,128"
,Democratic Republic of the Congo Regional Response Plan,,"1,668,000","1,828,400,000","311,000,000"
,Democratic Republic of the Congo RRP,,"741,000",,
Djibouti,Djibouti,"300,000","1,171,417","343,882,984","100,453,575"
,Djibouti (Intersectoral),,"1,150,000",,
,Djibouti Appeal,"206,000",,"79,310,556","40,222,828"
,Djibouti Drought Appeal,"120,000",,"33,264,338","19,370,114"
,Djibouti Flash Appeal,,"150,000",,
Dominica,Dominica Flash Appeal,,,"31,100,000","15,100,000"
